spring_boot,spring_data_neo4j,neo4j_ogm,neo4j_java_driver,minimum_java_version,release_date,end_of_oss_support,end_of_commercial_support
2.2.1.RELEASE,5.2.1.RELEASE,3.2.2,4.0.0-beta02,8,2019-11-06,2019-12-06,2019-12-06
2.2.0.RELEASE,5.2.0.RELEASE,3.2.1,4.0.0-beta02,8,2019-10-16,2019-11-06,2019-11-06
2.1.18.RELEASE,5.1.21.RELEASE,3.1.22,1.6.3,8,2020-10-29,2019-10-30,2021-01-30
2.1.17.RELEASE,5.1.20.RELEASE,3.1.22,1.6.3,8,2020-09-17,2019-10-30,2020-10-29
2.1.16.RELEASE,5.1.19.RELEASE,3.1.20,1.6.3,8,2020-07-24,2019-10-30,2020-09-17
2.1.15.RELEASE,5.1.18.RELEASE,3.1.19,1.6.3,8,2020-06-11,2019-10-30,2020-07-24
2.1.14.RELEASE,5.1.17.RELEASE,3.1.19,1.6.3,8,2020-05-07,2019-10-30,2020-06-11
2.1.13.RELEASE,5.1.16.RELEASE,3.1.17,1.6.3,8,2020-02-27,2019-10-30,2020-05-07
2.1.12.RELEASE,5.1.15.RELEASE,3.1.16,1.6.3,8,2020-01-16,2019-10-30,2020-02-27
2.1.11.RELEASE,5.1.14.RELEASE,3.1.15,1.6.3,8,2019-12-06,2019-10-30,2020-01-16
2.1.10.RELEASE,5.1.12.RELEASE,3.1.15,1.6.3,8,2019-11-06,2019-10-30,2019-12-06
2.1.9.RELEASE,5.1.11.RELEASE,3.1.14,1.6.3,8,2019-10-02,2019-10-30,2019-11-06
2.1.8.RELEASE,5.1.10.RELEASE,3.1.13,1.6.3,8,2019-09-05,2019-10-02,2019-10-02
2.1.7.RELEASE,5.1.10.RELEASE,3.1.11,1.6.3,8,2019-08-06,2019-09-05,2019-09-05
2.1.6.RELEASE,5.1.9.RELEASE,3.1.11,1.6.3,8,2019-06-19,2019-08-06,2019-08-06
2.1.5.RELEASE,5.1.8.RELEASE,3.1.9,1.6.3,8,2019-05-15,2019-06-19,2019-06-19
2.1.4.RELEASE,5.1.6.RELEASE,3.1.8,1.6.3,8,2019-04-04,2019-05-15,2019-05-15
2.1.3.RELEASE,5.1.5.RELEASE,3.1.7,1.6.3,8,2019-02-15,2019-04-04,2019-04-04
